,graph_type,execu_time,synergy,asc_ratio,rsr_ratio,gini_in,gini_out,nodes,edges,volume
33,G,,,0.5095218521214184,0.490478147878574,0.5244007514109572,0.5370366477769386,200,11993,2425304.0
34,tg_dynet,13.08313512802124,0.4552423118916227,0.797618820580097,0.20238117941989858,0.7717450346388861,0.7979866795640036,200,11993,2425304.0
35,tg_statnet,0.29048776626586914,0.30250022265250043,0.6865976330854328,0.3134023669145648,0.7143806753055748,0.7312578348108858,200,11993,2425304.0
36,G,,,0.45638265054292443,0.5436173494571129,0.454985747858083,0.4509642917239425,300,26876,4720577.0
37,tg_dynet,46.02971386909485,0.5084848737770827,0.7828242773816184,0.21717572261838283,0.7427882132628807,0.7621705718027125,300,26876,4720577.0
38,tg_statnet,0.9098260402679443,0.37640271517655577,0.6270921158516733,0.3729078841483472,0.6452146323660712,0.664170502208246,300,26876,4720577.0
39,G,,,0.4503203635573309,0.549679636442526,0.41321663784175566,0.4174904871628542,400,47647,8921103.0
40,tg_dynet,123.08457279205322,0.5357371168116767,0.7860618464676302,0.21393815353237228,0.7202848496898766,0.7341969522690601,400,47647,8921103.0
41,tg_statnet,1.9103291034698486,0.4184546462472185,0.6301637839808925,0.3698362160190986,0.631252638286701,0.6485020034595046,400,47647,8921103.0
42,G,,,0.43603496452623486,0.5639650354734499,0.3748524679868239,0.38896007808227306,500,74669,13669684.0
43,tg_dynet,530.1346528530121,0.5975419036753153,0.7858888698550905,0.2141111301449071,0.7191982902766985,0.726685048282506,500,74669,13669684.0
44,tg_statnet,3.462959051132202,0.4316131228783343,0.6159039573303372,0.3840960426697268,0.6040966674384713,0.6290727486589196,500,74669,13669684.0
45,G,,,0.4219357124089512,0.5780642875914311,0.3597754641662094,0.3496062668841853,600,107333,19338116.0
46,tg_dynet,4421.08661699295,0.6315016933397235,0.7986091711851362,0.20139082881486634,0.7032157932086764,0.6985694075863955,600,107333,19338116.0
47,tg_statnet,6.999909162521362,0.47543033664706535,0.5879426749987845,0.412057325001292,0.5773598975400267,0.5880438428016932,600,107333,19338116.0
48,G,,,0.415526509663836,0.5844734903360129,0.34576158982606797,0.330918001068107,700,146481,26941391.0
49,tg_dynet,4782.936684131622,0.6478192607055813,0.7825188309933542,0.21748116900663791,0.6904841888995419,0.6864928852596206,700,146481,26941391.0
50,tg_statnet,9.226889848709106,0.4978330925823392,0.575888566265755,0.4241114337343194,0.5730762381864878,0.5779812325887554,700,146481,26941391.0
51,G,,,0.3978252928239484,0.602174707175394,0.318118932527667,0.3133840387408533,800,191279,33813504.0
52,tg_dynet,1780.6444771289825,0.6736770906676812,0.7695285079378489,0.23047149206213557,0.6860651563228282,0.6953730388900032,800,191279,33813504.0
53,tg_statnet,14.364295959472656,0.5204700465234244,0.55203438047046,0.4479656195294966,0.5565379212842165,0.5713624721762898,800,191279,33813504.0
54,G,,,0.40454513305108625,0.5954548669483828,0.3174832927282274,0.31298024509025857,900,242946,46045386.0
55,tg_dynet,5681.97748875618,0.6707182995490579,0.7736982880424679,0.22630171195754126,0.6617937086569323,0.668982060204155,900,242946,46045386.0
56,tg_statnet,20.662174940109253,0.49909530566211346,0.5526881998091429,0.44731180019094646,0.5366700177739432,0.5632317382550223,900,242946,46045386.0
57,G,,,0.3912064394268221,0.6087935605744533,0.29420699886253243,0.2931611929671565,1000,300750,54347917.0
58,tg_dynet,8278.031440973282,0.6988193678149615,0.7797875685012418,0.22021243149874992,0.6646904576706292,0.6662113911197944,1000,300750,54347917.0
59,tg_statnet,30.63782501220703,0.5549947572047702,0.5600676202570577,0.43993237974292054,0.5408480939593077,0.5643841587972236,1000,300750,54347917.0
